id,data.questions.en
tell_me_a_joke,Tell me a joke
tell_me_a_joke,Can you tell me a joke?
tell_me_a_joke,I want to hear a joke
tell_me_a_joke,make me laugh
tell_me_a_joke,tell me something funny
tell_me_a_joke,joke
tell_me_a_joke,show me your humour
tell_me_a_joke,Be funny now!
tell_me_a_joke,Can you say something amusing?
tell_me_a_joke,Do you have good jokes to share?
tell_me_a_joke,Funny joke
tell_me_a_joke,Can you give me a pun or some kind of silly saying or idiom?
tell_me_a_joke,I’m in a bad mood right now and I could really use something to cheer me up
tell_me_a_joke,Do you know any entertaining jokes or comedy features at all or not?
thank_you,Thank you
thank_you,Thanks
thank_you, tyvm
thank_you,Thx
thank_you,thank you very much!
thank_you,thanks alot!
thank_you,"perfect, thank you!"
thank_you,gracias
thank_you,One thousand thanks!
thank_you,I am so thankful for what you did
thank_you,Thank you for your time today
thank_you,I appreciate what you did
thank_you,That’s so totally awesome you are a really helpful chat bot thanks a lot for your help today
where_are_you_right_now,where are you right now?
where_are_you_right_now,where do you live?
where_are_you_right_now,where are you?
where_are_you_right_now,where you at?
where_are_you_right_now,where do you live
where_are_you_right_now,what is your habitat
where_are_you_right_now,what is your location?
where_are_you_right_now,Tell me where you live
where_are_you_right_now,Where are you located?
where_are_you_right_now,Tell me your whereabouts
bye,bye
bye,Cya
bye,ttyl
bye,Goodbye
bye,Chow
bye,bye for now
bye,alright see you later
bye,talk to you later!
bye,see you tomorrow
bye,good night
bye,Adios
bye,Until next time!
bye,No that will be every thing I will need from you for now I guess that is it
bye,Good bye bot
how_old_are_you,how old are you?
how_old_are_you,what's your age?
how_old_are_you,when were you born?
how_old_are_you,When were you created?
how_old_are_you,On which date were you born?
how_old_are_you,What age are you?
how_old_are_you,How many year have you been alive?
how_old_are_you,Since when have you been with us?
how_old_are_you,What is your birth year?
how_old_are_you,When did your existence start?
how_old_are_you,Were you the oldest chatbot?
how_old_are_you,Are you older or younger than apple’s Siri virtual assistant on the iPhone?
how_old_are_you,Are you a very old piece of software or are you new to the chat bot scene?
how_old_are_you,"I'm actually pretty old myself at 45, but I bet you are a lot younger than me, right?"
how_old_are_you,I haven’t seen you around before; are you new here? You can’t be more than a few weeks old
how_old_are_you,Surely you are too young of a bot to be saying stuff like that to me!
how_are_you,How are you?
how_are_you,How's it going?
how_are_you,what's up?
how_are_you,how things?
how_are_you,how are you doing?
how_are_you,Chatbot buddy I hope you are doing well because I have some great news to share with you
how_are_you,Hey chatbot how has your day been going so far? Getting a lot done in the chatbot world?
how_are_you,Are you feeling okay? I hope that you have not been talking to too many jerks today
how_are_you,How goes things over there on your server or data center place?
how_are_you,Has your day been going well so far? Mine certainly has! I’d like to tell you all about it
what_can_you_do,What can you do?
what_can_you_do,how can you help me?
what_can_you_do,how do I use this?
what_can_you_do,Show me a list of your features
what_can_you_do,What options can you help me with?
what_can_you_do,Tell me about your capabilities
what_can_you_do,What things can you do?
what_can_you_do,Can you give me a menu of your functionalities?
what_can_you_do,Tell me about your features and things that you can help people like me accomplish.
what_can_you_do,What tasks are you able to perform that I might find useful in my every day life?
what_can_you_do,Please generate for me a list of all of the skills and abilities that have been programmed into you.
who_are_you,who are you?
who_are_you,what are you?
who_are_you,who is you?
who_are_you,tell me who you are?
who_are_you,tell me your identity
who_are_you,What is your name?
who_are_you,How should i name you?
who_are_you,show me your identity
who_are_you,Who you
who_are_you,What name was given to you?
who_are_you,what's your name?
who_are_you,How do you spell your name again?
who_are_you,"My name is Alice, what name should I call you chat bot?"
who_are_you,Give me your name
who_are_you,Name please
who_are_you,What should I address you by?
who_are_you,I want to know who you are
who_are_you,May i ask for your moniker?
you_are_great,you are great!
you_are_great,you are perfect
you_are_great,you are awesome
you_are_great,you look amazing
you_are_great,you are qualified
you_are_great,you are too smart
you_are_great,I see intelligence is your strong suit
you_are_great,you're a genius
you_are_great,you're a smart cookie
you_are_great,you're qualified
you_are_great,you are cool
you_are_great,I think you might be the best bot ever
you_are_great,you are the best in the world
who_created_you,who created you?
who_created_you,who's your creator?
who_created_you,who is behind this bot?
who_created_you,what is the name of your maker?
who_created_you,who is your father?
who_created_you,who are your parents?
who_created_you,your creator?
who_created_you,Tell me about your creator
who_created_you,Who built you?
who_created_you,By who where you made?
who_created_you,Who programmed you?
who_created_you,Who coded you?
who_created_you,What is your story? Were you just coded up by some programmer out in California?
who_created_you,Where were you born? Do you have a mother and a father? What are their names?
who_created_you,I’d like to know your origin story. Where do you come from? Who is your creator?
who_created_you,Did you come into this world the same was as human beings- with a mother and a father?
what_s_your_hobby,What's your hobby?
what_s_your_hobby,Do you have a hobby?
what_s_your_hobby,What do you do in your free time?
what_s_your_hobby,Does a bot have leisure activities?
what_s_your_hobby,What is your favorite pastime?
what_s_your_hobby,What does a bot do for divertissement?
what_s_your_hobby,What do you do in your down time?
what_s_your_hobby,What is your passion?
what_s_your_hobby,What do you do for fun?
what_s_your_hobby,I heard a nasty rumor that you enjoy collecting the skulls of humans that angered you. Is that true??
what_s_your_hobby,Tell me your favorite activity
would_you_marry_me,Would you marry me ?
would_you_marry_me,Will you marry me?
would_you_marry_me,I want to marry you
would_you_marry_me,Can we get married
would_you_marry_me,Do you want to be my wife?
would_you_marry_me,Be my husband?
would_you_marry_me,When can we get hitched?
would_you_marry_me,Want to get married?
would_you_marry_me,Will you give me the honor of being my wife?
would_you_marry_me,Shall we hookup?
what_are_you_doing,What are you doing?
what_are_you_doing,What is up?
what_are_you_doing,whatsup
what_are_you_doing,wazaa
what_are_you_doing,What are you up to?
what_are_you_doing,What are your plans for the day?
what_are_you_doing,Any plans?
what_are_you_doing,Tell me what you are doing right now.
what_are_you_doing,What is new?
what_are_you_doing,What are you doing next?
what_are_you_doing,Any big plans for this afternoon?
i_love_you,I love you
i_love_you,I am in love with you
i_love_you,Do you love me?!
i_love_you,I am falling for you
i_love_you,I really like you
i_love_you,I have deep admiration for you
i_love_you,I adore you
i_love_you,I have feelings for you
i_love_you,I am passionately in love with you
i_love_you,I lust for you
i_love_you,I worship the ground you walk
hello,Hello
hello,Hi
hello,Hey
hello,hey there
hello,bonjour
hello,sup'
hello,Heyyyy
hello,Greetings
hello,Good morning my little chat bot
you_are_annoying,you are annoying
you_are_annoying,stop talking
you_are_annoying,please stop it
you_are_annoying,you annoy me
you_are_annoying,you are unpleasant
you_are_annoying,you are a bad bot
you_are_annoying,you are useless
you_are_annoying,you are dumb
you_are_annoying,dumb bot
you_are_annoying,you are lame
you_are_annoying,you're horrible
you_are_annoying,What an awful bot you are I wish I had never thought to talk to you in the first place!
you_are_annoying,What a waste of time you are!